tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
968,6/1/2013 11:44,6/1/2013 12:01,482,W 15 St & 7 Ave,40.73935542,-73.99931783,147,Greenwich St & Warren St,40.71542197,-74.01121978,17460,Subscriber,1965,1
1326,6/1/2013 11:44,6/1/2013 12:07,517,Pershing Square South,40.751581,-73.97791,478,11 Ave & W 41 St,40.76030096,-73.99884222,19956,Subscriber,1985,1
2839,6/1/2013 11:44,6/1/2013 12:32,498,Broadway & W 32 St,40.74854862,-73.98808416,348,W Broadway & Spring St,40.72490985,-74.00154702,15906,Customer,NULL,0
598,6/1/2013 11:44,6/1/2013 11:54,167,E 39 St & 3 Ave,40.7489006,-73.97604882,NULL,NULL,NULL,NULL,18563,Subscriber,1972,2
7535,6/1/2013 11:45,6/1/2013 13:50,447,8 Ave & W 52 St,40.76370739,-73.9851615,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,19056,Customer,NULL,0
745,6/1/2013 11:44,6/1/2013 11:57,457,Broadway & W 58 St,40.76695317,-73.98169333,357,E 11 St & Broadway,40.73261787,-73.99158043,16118,Subscriber,1980,1
2854,6/1/2013 11:45,6/1/2013 12:32,2012,E 27 St & 1 Ave,40.739445,-73.976806,147,Greenwich St & Warren St,40.71542197,-74.01121978,18160,Customer,NULL,0
278,6/1/2013 11:45,6/1/2013 11:49,404,9 Ave & W 14 St,40.7405826,-74.00550867,479,9 Ave & W 45 St,40.76019252,-73.9912551,16624,Subscriber,1978,1
773,6/1/2013 11:45,6/1/2013 11:58,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,401,Allen St & Rivington St,40.72019576,-73.98997825,15642,Subscriber,1982,1
806,6/1/2013 11:45,6/1/2013 11:58,462,W 22 St & 10 Ave,40.74691959,-74.00451887,329,Greenwich St & North Moore St,40.72015227,-74.01036501,15185,Subscriber,1971,1
1520,6/1/2013 11:46,6/1/2013 12:11,428,E 3 St & 1 Ave,40.72467721,-73.98783413,468,Broadway & W 56 St,40.7652654,-73.98192338,19609,Subscriber,1977,1
2096,6/1/2013 11:46,6/1/2013 12:20,355,Bayard St & Baxter St,40.71602118,-73.99974372,355,Bayard St & Baxter St,40.71602118,-73.99974372,17333,Subscriber,1977,1
